Mach Number,CD
1.604092,0.5632172
1.610146,0.5608565
1.616201,0.5585191
1.622254,0.5562057
1.628306,0.5539153
1.634357,0.5516476
1.640407,0.549402
1.646456,0.547178
1.652505,0.5449748
1.658552,0.5427927
1.664598,0.5406311
1.670643,0.5384893
1.676687,0.5363671
1.682731,0.5342636
1.688773,0.5321792
1.694814,0.5301133
1.700854,0.5280655
1.706893,0.5260353
1.71293,0.5240229
1.718967,0.5220272
1.725003,0.5200482
1.731037,0.518086
1.737071,0.5161396
1.743104,0.5142091
1.749135,0.5122945
1.755165,0.5103951
1.761194,0.5085108
1.767223,0.5066409
1.77325,0.5047859
1.779276,0.5029451
1.7853,0.5011187
1.791324,0.4993057
1.797346,0.4975066
1.803368,0.4957206
1.809388,0.493948
1.815408,0.4921879
1.821426,0.4904409
1.827443,0.4887064
1.833458,0.4869845
1.839473,0.4852744
1.845487,0.4835763
1.8515,0.4818899
1.857511,0.4802153
1.863521,0.4785522
1.86953,0.4769002
1.875538,0.4752593
1.881545,0.4736293
1.887551,0.47201
1.893556,0.4704013
1.899559,0.4688032
1.905562,0.4672152
1.911563,0.4656376
1.917564,0.4640697
1.923563,0.4625119
1.929561,0.4609638
1.935558,0.4594252
1.941554,0.4578961
1.947548,0.4563766
1.953542,0.454866
1.959535,0.4533645
1.965526,0.4518721
1.971516,0.4503661
1.977506,0.4488024
1.983495,0.4472472
1.989482,0.4457008
1.995469,0.4441625
2.001456,0.4426675
2.007441,0.4412634
2.013425,0.4398676
2.019408,0.4384798
2.02539,0.4370999
2.031371,0.4357279
2.037351,0.4343637
2.04333,0.4330072
2.049299,0.4316604
2.055228,0.4303298
2.061116,0.4290156
2.066964,0.4277173
2.07277,0.4264351
2.078536,0.4251683
2.08426,0.4239173
2.089942,0.4226817
2.095583,0.4214612
2.101183,0.4202556
2.106741,0.4190648
2.112257,0.4178889
2.117731,0.4167275
2.123162,0.4155806
2.128552,0.4144477
2.133899,0.4133291
2.139203,0.4122245
2.144465,0.4111336
2.149684,0.4100565
2.15486,0.4089929
2.159993,0.4079429
2.165082,0.4069062
2.170129,0.4058826
2.175132,0.4048721
2.180091,0.4038747
2.185007,0.40289
2.189879,0.4019181
2.194707,0.4009589
2.199491,0.4000122
2.204231,0.3990778
2.208927,0.3981558
2.213578,0.3972461
2.218184,0.3963486
2.222746,0.395463
2.227263,0.3945895
2.231736,0.3937276
2.236163,0.3928777
2.240545,0.3920395
2.244882,0.3912128
2.249174,0.3903975
2.25342,0.3895938
2.257621,0.3888014
2.261775,0.3880204
2.265884,0.3872506
2.269947,0.3864918
2.273965,0.385744
2.277936,0.3850073
2.28186,0.3842816
2.285738,0.3835668
2.28957,0.3828627
2.293356,0.3821691
2.297095,0.3814863
2.30082,0.3808079
2.304533,0.3801337
2.308232,0.3794639
2.311919,0.3787981
2.315592,0.3781367
2.319252,0.3774795
2.322898,0.3768265
2.326532,0.3761775
2.330152,0.3755327
2.333759,0.374892
2.337352,0.3742555
2.340932,0.373623
2.344499,0.3729945
2.348053,0.3723699
2.351593,0.3717494
2.355119,0.3711329
2.358632,0.3705204
2.362132,0.3699116
2.365618,0.3693069
2.36909,0.3687062
2.372549,0.3681091
2.375995,0.3675159
2.379426,0.3669267
2.382845,0.3663411
2.386249,0.3657594
2.38964,0.3651815
2.393017,0.3646073
2.39638,0.3640369
2.39973,0.3634701
2.403066,0.3629071
2.406388,0.3623477
2.409696,0.361792
2.412969,0.3612437
2.416198,0.3607041
2.419384,0.3601731
2.422526,0.3596508
2.425624,0.3591371
2.428678,0.358632
2.431688,0.3581354
2.434653,0.3576475
2.437574,0.357168
2.440451,0.356697
2.443283,0.3562344
2.446071,0.3557802
2.448814,0.3553343
2.451512,0.3549648
2.454165,0.3546548
2.456772,0.3543513
2.459334,0.354054
2.46185,0.353763
2.464321,0.3534782
2.466745,0.3531997
2.469124,0.3529273
2.471457,0.3526611
2.473744,0.352401
2.475985,0.352147
2.47818,0.351899
2.480328,0.3516572
2.482431,0.3514212
2.484487,0.3511914
2.486496,0.3509675
2.488459,0.3507496
2.490376,0.3505375
2.492246,0.3503314
2.49407,0.3501311
2.495847,0.3499367
2.497577,0.3497482
2.499261,0.3495654
2.500897,0.3493885
2.502488,0.3492173
2.50403,0.349052
2.505548,0.3488898
2.507043,0.3487305
2.508515,0.3485741
2.509964,0.3484206
2.511391,0.3482699
2.512794,0.3481222
2.514174,0.3479773
2.515531,0.3478354
2.516865,0.3476962
2.518176,0.3475599
2.519464,0.3474265
2.520728,0.3472959
2.52197,0.3471681
2.523188,0.3470432
2.524384,0.346921
2.525556,0.3468017
2.526704,0.3466852
2.52783,0.3465714
2.528933,0.3464604
2.530012,0.3463523
2.531067,0.346247
2.5321,0.3461444
2.533109,0.3460446
2.534096,0.3459474
2.535058,0.3458531
2.535997,0.3457616
2.536913,0.3456728
2.537806,0.3455866
2.538675,0.3455033
2.539521,0.3454227
2.540343,0.3453448
2.541142,0.3452697
2.541918,0.3451972
2.54267,0.3451275
2.543399,0.3450604
2.544104,0.3449962
2.544785,0.3449347
2.545443,0.3448758
2.546077,0.3448197
2.546689,0.3447661
2.547276,0.3447154
2.54784,0.3446673
2.54838,0.3446219
2.548897,0.3445792
2.54939,0.3445391
2.54986,0.3445018
2.550305,0.3444672
2.550728,0.3444352
2.551126,0.3444059
